id,date,type,typeGenitive,name
1,1670,сборник,сборника,"1. Chambonnières J. de Ch. Les pièces de clavessin: Livre premier. Paris: Jollain. 1670. [73] p.;
2. Chambonnières J. de Ch. Les pièces de clavessin [Second Livre]. Paris: Jollain. 1670. [69] p."
2,1689,сборник,сборника,
3,1677,сборник,сборника,
4,1687,сборник,сборника,
5,1705,сборник,сборника,
6,1710,сборник,сборника,
7,1719,сборник,сборника,
8,1687,сборник,сборника,
9,1707,сборник,сборника,
10,1701,сборник,сборника,
11,1713,сборник,сборника,
12,1717,сборник,сборника,
13,1722,сборник,сборника,
14,1730,сборник,сборника,
15,1699,сборник,сборника,
16,1702,сборник,сборника,
17,1704,сборник,сборника,
18,1731,сборник,сборника,
19,1739,сборник,сборника,
20,1705,сборник,сборника,
21,1724,сборник,сборника,
22,1728,сборник,сборника,
23,1734,сборник,сборника,
24,1706,сборник,сборника,
25,1724,сборник,сборника,
26,1727,сборник,сборника,
27,1741,сборник,сборника,
28,1733,сборник,сборника,
29,1736,сборник,сборника,
30,1740,сборник,сборника,
31,1735,сборник,сборника,
32,~1750,сборник,сборника,
33,~1752,сборник,сборника,
34,~1758,сборник,сборника,
35,1735,сборник,сборника,
36,1734,сборник,сборника,
37,~1740,сборник,сборника,
38,1745,сборник,сборника,
39,1747,сборник,сборника,
40,1738,сборник,сборника,
41,1753,сборник,сборника,
42,1746,сборник,сборника,
43,1734,сборник,сборника,
44,1740,сборник,сборника,
45,1740,сборник,сборника,
46,1748,сборник,сборника,
47,1744,сборник,сборника,
48,1748,сборник,сборника,
49,1756,сборник,сборника,
50,1768,сборник,сборника,
51,1757,сборник,сборника,
52,1737,сборник,сборника,
53,1773,сборник,сборника,
54,1748,сборник,сборника,
55,1759,сборник,сборника,
56,1751,сборник,сборника,
57,1770,сборник,сборника,
58,1761,сборник,сборника,
59,1770,сборник,сборника,
60,1770,сборник,сборника,
61,1773,сборник,сборника,
62,1764,сборник,сборника,
63,1733,сборник,сборника,
64,~1740,сборник,сборника,
65,1741,сборник,сборника,